Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
LHFG,SET    ,1.22,1.69,1.00,30.02,0.72,21183.66,25844.07,15.16,1.11
LHK,SET    ,5.15,6.10,3.78,11.13,1.42,383.00,1972.45,1.63,0.72
LIT,mai    ,1.82,2.78,1.63,999.99,0.70,442.93,806.13,0.52,0.73
LPF,SET    ,14.10,14.50,12.30,999.99,1.16,23828.13,32955.69,39.18,0.31
LPH,sSET    ,5.70,6.45,5.40,12.29,2.23,360.00,4104.00,0.88,0.74
LPN,sSET    ,4.56,5.30,4.06,10.93,0.56,1454.20,6631.15,10.65,0.67
M,SETWB    ,57.00,61.50,49.25,34.60,4.00,920.88,52490.05,115.99,0.83
MACO,sSET    ,0.54,0.91,0.43,999.99,1.14,811.80,4383.70,8.24,1.90
MAJOR,sSET / SETCLMV / SETTHSI    ,18.30,22.40,16.30,59.25,2.51,894.67,16372.42,61.02,0.65
MAKRO,SET    ,42.00,43.75,32.00,31.03,1.54,5290.16,444373.59,815.35,1.15
MBAX,mai    ,5.55,6.75,4.96,6.42,1.79,191.90,1065.02,2.32,0.64
MC,sSET    ,11.80,11.90,8.70,16.17,2.47,396.00,9345.60,14.68,0.63
MCS,sSET    ,10.10,15.00,8.50,10.10,1.23,477.00,4817.70,9.66,0.47
MEGA,SET100 / SETCLMV / SETTHSI / SETWB    ,51.00,55.25,40.25,19.02,5.21,435.93,44465.34,169.50,1.12
MINT,SET50 / SETCLMV / SETTHSI    ,34.00,36.25,24.10,219.15,2.48,5275.01,179350.50,1013.14,1.35
MST,SET    ,11.50,14.80,10.80,10.59,1.36,2854.07,6564.37,0.45,0.49
MTC,SET50 / SETTHSI    ,38.50,60.00,32.50,16.13,2.91,2120.00,81620.00,642.37,1.80
NER,sSET / SETTHSI    ,6.60,7.65,5.40,6.15,1.96,923.89,12195.41,50.40,0.88
NOBLE,sSET / SETTHSI    ,5.70,6.40,4.26,69.15,1.39,1369.41,7805.66,21.19,0.65
OISHI,SET    ,48.50,50.50,41.50,15.19,2.28,375.00,18187.50,0.40,0.42
ONEE,SET100    ,7.90,13.10,7.50,23.55,2.69,4762.50,18811.88,68.62,1.46
OR,SET50 / SETCLMV / SETTHSI    ,22.60,28.00,22.50,20.14,2.58,120000.00,271200.00,391.64,0.79
ORI,SET100 / SETHD / SETTHSI    ,11.90,12.70,9.20,8.23,1.79,1227.06,29204.06,107.44,1.64
OSP,SET50 / SETCLMV / SETHD / SETTHSI / SETWB    ,29.25,38.25,24.80,35.89,4.88,3003.75,87859.69,255.76,1.03
PAP,SET    ,3.92,6.90,3.58,999.99,1.24,660.00,2587.20,0.88,0.70
PCSGH,SET    ,5.45,6.05,4.80,16.14,1.77,1525.00,8311.25,1.21,0.47
PDG,mai    ,3.48,3.92,3.36,20.24,1.78,148.50,1033.56,0.11,0.25
PLANB,SET100 / SETTHSI    ,8.50,9.00,5.65,59.31,4.55,427.93,36374.42,391.37,1.38
POPF,SET    ,11.50,12.70,11.10,999.99,1.05,4816.39,5538.84,4.39,0.26
PREB,SET    ,8.55,9.10,7.65,6.39,1.06,308.68,2639.18,2.57,0.38
PRM,sSET    ,8.00,8.10,4.90,11.78,1.95,2500.00,20000.00,94.14,1.36
PSH,SETTHSI    ,13.20,15.60,11.80,11.16,0.67,2188.50,28888.26,15.68,0.67
PSL,SET100 / SETTHSI    ,16.30,21.80,12.80,4.18,1.39,1559.29,25416.46,140.15,1.41
PTG,SET100 / SETTHSI    ,13.40,16.40,12.90,26.27,2.61,1670.00,22378.00,192.52,1.25
PTL,SET    ,25.25,29.25,20.60,5.45,1.13,900.00,22725.00,49.28,0.83
PTT,SET50 / SETCLMV / SETHD / SETTHSI    ,33.25,41.25,30.75,9.42,0.88,28563.00,949719.63,1451.32,0.89
PTTEP,SET50 / SETCLMV / SETHD / SETTHSI    ,172.00,195.00,126.50,10.36,1.38,3969.99,682837.49,1493.32,0.30
PTTGC,SET50 / SETCLMV / SETTHSI    ,50.50,58.75,39.75,999.99,0.78,45088.49,227696.88,990.92,1.12
QH,SET100 / SETHD    ,2.34,2.44,2.06,11.22,0.93,10714.38,25071.65,39.14,0.46
RATCH,SET50 / SETCLMV / SETHD / SETTHSI    ,43.25,44.75,35.75,11.55,0.88,21750.00,94068.75,255.75,0.65
